"reference_day","delay0","delay1","delay2","delay3"
1,0,0,1,0
2,0,0,0,0
3,0,0,0,0
4,1,0,0,0
5,0,0,0,0
6,0,0,0,0
7,2,0,0,0
8,0,0,0,0
9,0,1,0,1
10,1,1,0,0
11,1,0,0,0
12,0,0,1,0
13,0,0,1,0
14,0,0,0,0
15,0,0,0,0
16,0,0,0,0
17,0,3,0,1
18,1,0,0,0
19,1,0,0,1
20,2,1,1,0
21,4,6,3,0
22,11,5,4,3
23,13,17,3,2
24,9,11,5,1
25,2,7,2,1
26,5,7,4,1
27,4,10,3,2
28,4,6,7,0
29,8,10,8,2
30,7,11,5,0
31,10,7,7,3
32,9,13,4,1
33,2,4,4,1
34,8,6,4,3
35,6,7,5,3
36,9,15,1,0
37,7,14,6,4
38,37,41,16,9
39,28,36,25,7
40,20,20,16,13
41,22,23,11,2
42,16,19,8,5
43,9,16,4,4
44,5,12,5,3
45,14,18,7,4
46,16,12,4,5
47,12,10,6,2
48,6,10,10,NA
49,5,9,NA,NA
50,7,NA,NA,NA
